Visit ID,Visit Date,Patient ID,Diagnosis Category,Diagnosis Sub Category,Treatment Category,Treatment Sub Category,New Patient,Consulting Physician,Patient Name,Patient Gender,Patient Age Range,Patient Blood Type,Patient Insurance Number,Patient Phone,Patient Address,Patient Occupation,Patient Emergency Contact
VQC513203,2017-01-01,PZM508653,Chronic Pain,Vertebral Disc Problem,Pharmacy/Prescription Drugs,Non-FDA Approved Use,True,Dr. Jerry Daniels,Michelle Fisher,Female,41-50,O-,G264037622,015786233257,"Pärtzeltweg 2
22301 Neunburg vorm Wald","Surveyor, quantity","Jennifer Bailey, 015680180768."
VVC435406,2017-01-01,PSN036517,Endocrine/ Metabolic,Hormone Deficiency,Pharmacy/Prescription Drugs,Hormones,True,Dr. Michelle Lamb,Brooke Davis,Female,31-40,O+,Y133547589,016238255302,"Kira-Gorlitz-Allee 8
67100 Rosenheim",Copy,"Dennis Carlson, 015182104709."
VKT437745,2017-01-01,PPD253419,Pediatrics,Delayed Speech,Rehabilitation Services - Outpatient,Speech Therapy,True,Dr. Michelle Lamb,Andrew Graves,Male,0-10,O+,F115599209,017550508440,"Thiesstr. 3/5
68745 Bremen",Claims inspector/assessor,"Veronica Harris, 015034485673."
VJG208744,2017-01-01,PBN488954,Central Nervous System/ Neuromuscular,,Pharmacy/Prescription Drugs,Non-FDA Approved Use,True,Dr. James Barber,Cody Carpenter,Male,51-64,AB+,W720918648,015210588122,"Schmidtkeallee 53
54913 Siegen",Tourism officer,"Michelle Graham, 017438105819."
VAF235393,2017-01-01,PJG173047,Cancer,Breast Cancer,Cancer Treatment,Surgery,True,Dr. James Barber,Christopher White,Female,31-40,A+,Q198981012,016561784363,"Ida-Fliegner-Ring 7/6
53118 Wolgast",Engineering geologist,"Peter Stout, 015017527431."
VWY272952,2017-01-01,PDG766972,"Ears, Nose, Throat",Nasal Airway Obstruction,"Ear, Nose and Throat Procedures",Septoplasty,True,Dr. James Barber,Travis Thompson MD,Male,41-50,AB+,J973146692,016193509917,"Gorlitzplatz 878
77505 Niesky",Chief Marketing Officer,"Chad Jackson, 016333993704."
VQP104137,2017-01-01,PGS561776,Mental,ADHD - Attention Deficit Hyperactivity Disorder,Mental Health Treatment,Residential Treatment Center - Admission,True,Dr. Shelly Hunt,Travis Black,Male,0-10,O+,D201325683,015237687361,"Jolanthe-Söding-Allee 9/3
90282 Schweinfurt",Advice worker,"Tyler Wise, 016614251527."
VKD592277,2017-01-02,PGR227979,Digestive System/ Gastrointestinal,Cirrhosis,Pharmacy/Prescription Drugs,Anti-virals,True,Dr. James Barber,Hannah Rodriguez,Male,51-64,B-,U514294499,015068020371,"Cynthia-Roht-Straße 1
20575 Wertingen",Retail buyer,"Frank Morgan, 015500550730."
VDG060092,2017-01-02,PSH658900,Mental,Alcohol Abuse/ Addiction,Mental Health Treatment,Residential Treatment Center - Admission,True,Dr. Shelly Hunt,Kaylee Diaz,Female,21-30,B-,J488396378,017986726551,"Klara-Weitzel-Weg 16
98599 Waldmünchen",Sub,"Laurie Andrews, 017636436417."
VJX623505,2017-01-02,PLL316183,"Ears, Nose, Throat",Throat Infection,Acute Medical Services - Outpatient,Emergency Room,True,Dr. Eddie Young,Emma Williams,Male,41-50,AB-,P150629839,016918469861,"Sontagallee 7
16197 Rosenheim",Curator,"Thomas Evans, 017020369192."
VTE202294,2017-01-02,PRX411571,Infectious,Hepatitis,Pharmacy/Prescription Drugs,Anti-virals,True,Dr. Shelly Hunt,William Lopez,Female,51-64,AB-,C911127917,015160891549,"Kaulstr. 8/9
98019 Schwabmünchen",Charity fundraiser,"Lisa Davis, 017586003417."
